CoReg;Year;Series;Value;Footnotes;Source
Total, all countries or areas;1995;Primary energy production (petajoules);382594;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2000;Primary energy production (petajoules);413334;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2005;Primary energy production (petajoules);477637;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2010;Primary energy production (petajoules);531540;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2015;Primary energy production (petajoules);570407;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2016;Primary energy production (petajoules);569793;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2017;Primary energy production (petajoules);581831;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2018;Primary energy production (petajoules);599931;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;1995;Net imports [Imports - Exports - Bunkers] (petajoules);-8652;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2000;Net imports [Imports - Exports - Bunkers] (petajoules);-10096;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2005;Net imports [Imports - Exports - Bunkers] (petajoules);-13357;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2010;Net imports [Imports - Exports - Bunkers] (petajoules);-13046;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2015;Net imports [Imports - Exports - Bunkers] (petajoules);-18812;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2016;Net imports [Imports - Exports - Bunkers] (petajoules);-22205;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2017;Net imports [Imports - Exports - Bunkers] (petajoules);-21035;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2018;Net imports [Imports - Exports - Bunkers] (petajoules);-23018;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;1995;Changes in stocks (petajoules);229;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2000;Changes in stocks (petajoules);-2947;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2005;Changes in stocks (petajoules);-286;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2010;Changes in stocks (petajoules);83;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2015;Changes in stocks (petajoules);2469;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2016;Changes in stocks (petajoules);-5545;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2017;Changes in stocks (petajoules);-1982;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2018;Changes in stocks (petajoules);326;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;1995;Total supply (petajoules);373713;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2000;Total supply (petajoules);406186;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2005;Total supply (petajoules);464565;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2010;Total supply (petajoules);518411;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2015;Total supply (petajoules);549127;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2016;Total supply (petajoules);553132;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2017;Total supply (petajoules);562778;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2018;Total supply (petajoules);576587;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;1995;Supply per capita (gigajoules);65;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2000;Supply per capita (gigajoules);66;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2005;Supply per capita (gigajoules);71;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2010;Supply per capita (gigajoules);75;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2015;Supply per capita (gigajoules);74;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2016;Supply per capita (gigajoules);74;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2017;Supply per capita (gigajoules);75;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Total, all countries or areas;2018;Supply per capita (gigajoules);76;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;1995;Primary energy production (petajoules);32334;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2000;Primary energy production (petajoules);36646;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2005;Primary energy production (petajoules);44914;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2010;Primary energy production (petajoules);47407;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2015;Primary energy production (petajoules);44689;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2016;Primary energy production (petajoules);44108;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2017;Primary energy production (petajoules);46304;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2018;Primary energy production (petajoules);46827;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;1995;Net imports [Imports - Exports - Bunkers] (petajoules);-13019;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2000;Net imports [Imports - Exports - Bunkers] (petajoules);-15605;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2005;Net imports [Imports - Exports - Bunkers] (petajoules);-20428;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2010;Net imports [Imports - Exports - Bunkers] (petajoules);-19167;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2015;Net imports [Imports - Exports - Bunkers] (petajoules);-13385;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2016;Net imports [Imports - Exports - Bunkers] (petajoules);-12098;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2017;Net imports [Imports - Exports - Bunkers] (petajoules);-13388;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2018;Net imports [Imports - Exports - Bunkers] (petajoules);-13761;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;1995;Changes in stocks (petajoules);322;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2000;Changes in stocks (petajoules);-19;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2005;Changes in stocks (petajoules);4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2010;Changes in stocks (petajoules);43;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2015;Changes in stocks (petajoules);-43;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2016;Changes in stocks (petajoules);-85;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2017;Changes in stocks (petajoules);72;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2018;Changes in stocks (petajoules);29;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;1995;Total supply (petajoules);18994;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2000;Total supply (petajoules);21061;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2005;Total supply (petajoules);24482;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2010;Total supply (petajoules);28196;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2015;Total supply (petajoules);31346;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2016;Total supply (petajoules);32093;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Africa;2017;Total supply (petajoules);32844;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
